Train_ID,Train_Type,Current_Position,Delay_Min,Buffer_Min,Track_Availability,Stopping_Pattern,Section_Type,Speed_Limit,Decision,Hold_Station,Hold_Time,Reroute_Path,Additional_Time,Reason
T0016,Passenger,Section_4,70,12,Occupied,Skip,Double-line,110,Reroute Train T0016,,,Section_23 → Section_30 → Section_2,15.0,Weather
T0017,Freight,Section_9,100,0,Free,All Stops,Single-line,100,Reroute Train T0017,,,Section_38 → Section_35 → Section_33,36.0,Maintenance
T0018,Passenger,Station_4,47,51,Occupied,Skip,Double-line,100,Allow Train T0018 to go first,,,,,
T0019,Freight,Section_9,114,24,Free,Skip,Single-line,60,Allow Train T0019 to go first,,,,,
T0020,Express,Section_6,112,44,Occupied,All Stops,Single-line,100,Allow Train T0020 to go first,,,,,
T0021,Passenger,Station_11,70,54,Free,All Stops,Single-line,60,Hold Train T0021,Station_24,15.0,,,
T0022,Freight,Station_41,15,29,Occupied,All Stops,Double-line,120,Allow Train T0022 to go first,,,,,
T0023,Freight,Section_46,17,31,Occupied,All Stops,Single-line,60,Allow Train T0023 to go first,,,,,
T0024,Freight,Section_37,102,53,Free,All Stops,Single-line,110,Reroute Train T0024,,,Section_26 → Section_2 → Station_18,32.0,Accident
T0025,Express,Station_21,18,38,Occupied,All Stops,Single-line,100,Allow Train T0025 to go first,,,,,
T0026,Freight,Station_34,92,46,Occupied,All Stops,Single-line,60,Reroute Train T0026,,,Station_45 → Section_38 → Station_38,28.0,Weather
T0027,Express,Station_41,55,49,Free,Skip,Single-line,80,Hold Train T0027,Station_32,5.0,,,
T0028,Freight,Section_24,2,60,Free,Skip,Double-line,80,Reroute Train T0028,,,Station_44 → Section_3 → Station_36,8.0,Weather
T0029,Express,Station_28,105,8,Occupied,All Stops,Single-line,110,Allow Train T0029 to go first,,,,,
T0030,Freight,Section_29,41,56,Occupied,Skip,Single-line,60,Hold Train T0030,Station_34,25.0,,,
T0031,Freight,Station_24,20,44,Occupied,All Stops,Single-line,60,Allow Train T0031 to go first,,,,,
T0032,Passenger,Station_10,49,60,Occupied,Skip,Double-line,60,Allow Train T0032 to go first,,,,,
T0033,Passenger,Section_22,82,44,Free,Skip,Single-line,110,Hold Train T0033,Station_1,24.0,,,
T0034,Express,Section_10,113,51,Free,Skip,Double-line,80,Hold Train T0034,Station_6,28.0,,,
T0035,Express,Section_46,46,14,Occupied,Skip,Single-line,80,Allow Train T0035 to go first,,,,,
T0036,Express,Section_10,9,51,Occupied,All Stops,Single-line,60,Hold Train T0036,Station_17,27.0,,,
T0037,Freight,Station_12,112,32,Occupied,All Stops,Double-line,80,Reroute Train T0037,,,Station_19 → Section_23 → Section_17,34.0,Weather
T0038,Freight,Section_22,73,13,Occupied,All Stops,Single-line,110,Hold Train T0038,Station_18,20.0,,,
T0039,Express,Section_3,107,46,Free,Skip,Double-line,80,Hold Train T0039,Station_35,7.0,,,
T0040,Express,Section_49,92,49,Free,Skip,Double-line,90,Allow Train T0040 to go first,,,,,
T0041,Express,Station_46,99,35,Occupied,Skip,Single-line,60,Hold Train T0041,Station_19,11.0,,,
T0042,Freight,Station_47,56,16,Free,All Stops,Single-line,100,Reroute Train T0042,,,Station_8 → Section_2 → Station_35,39.0,Weather
T0043,Express,Section_46,54,28,Free,Skip,Double-line,90,Reroute Train T0043,,,Section_15 → Station_25 → Section_21,24.0,Congestion
T0044,Passenger,Station_30,48,58,Occupied,All Stops,Single-line,110,Allow Train T0044 to go first,,,,,
T0045,Passenger,Station_43,6,28,Occupied,All Stops,Single-line,100,Hold Train T0045,Station_29,24.0,,,
T0046,Passenger,Station_46,10,23,Occupied,Skip,Single-line,110,Allow Train T0046 to go first,,,,,
T0047,Freight,Station_2,76,2,Occupied,All Stops,Single-line,60,Hold Train T0047,Station_41,27.0,,,
T0048,Passenger,Section_44,3,42,Free,Skip,Single-line,60,Allow Train T0048 to go first,,,,,
T0049,Passenger,Section_50,64,60,Occupied,Skip,Single-line,80,Hold Train T0049,Station_19,27.0,,,
T0050,Passenger,Section_38,49,3,Free,Skip,Single-line,100,Reroute Train T0050,,,Section_30 → Station_48 → Station_30,25.0,Accident
T0051,Freight,Station_11,87,11,Free,Skip,Single-line,80,Hold Train T0051,Station_21,30.0,,,
T0052,Freight,Station_46,111,3,Free,Skip,Double-line,120,Allow Train T0052 to go first,,,,,
T0053,Express,Station_41,14,21,Free,Skip,Double-line,120,Reroute Train T0053,,,Section_38 → Section_26 → Station_34,33.0,Accident
T0054,Express,Section_7,36,2,Occupied,Skip,Double-line,120,Allow Train T0054 to go first,,,,,
T0055,Express,Section_10,76,35,Free,All Stops,Double-line,120,Allow Train T0055 to go first,,,,,
T0056,Express,Section_36,96,53,Free,Skip,Single-line,100,Hold Train T0056,Station_44,24.0,,,
T0057,Express,Station_39,98,46,Free,Skip,Single-line,60,Hold Train T0057,Station_23,9.0,,,
T0058,Express,Station_28,54,2,Occupied,Skip,Single-line,110,Hold Train T0058,Station_41,24.0,,,
T0059,Express,Station_29,83,21,Free,All Stops,Double-line,80,Hold Train T0059,Station_44,23.0,,,
T0060,Passenger,Station_19,5,23,Occupied,Skip,Single-line,60,Hold Train T0060,Station_32,23.0,,,
T0061,Freight,Station_2,82,1,Occupied,All Stops,Single-line,60,Reroute Train T0061,,,Station_50 → Section_42 → Section_7,35.0,Accident
T0062,Express,Section_50,89,57,Free,All Stops,Double-line,120,Reroute Train T0062,,,Station_17 → Section_42 → Station_28,17.0,Accident
T0063,Passenger,Section_25,89,23,Free,Skip,Single-line,100,Hold Train T0063,Station_30,17.0,,,
T0064,Express,Station_43,41,0,Free,Skip,Double-line,60,Allow Train T0064 to go first,,,,,
T0065,Passenger,Station_28,48,20,Occupied,Skip,Double-line,80,Hold Train T0065,Station_7,19.0,,,
T0066,Freight,Station_33,23,37,Free,Skip,Single-line,80,Allow Train T0066 to go first,,,,,
T0067,Passenger,Station_43,109,6,Free,Skip,Single-line,110,Allow Train T0067 to go first,,,,,
T0068,Freight,Section_4,107,43,Free,All Stops,Single-line,60,Reroute Train T0068,,,Section_48 → Section_20 → Section_22,31.0,Accident
T0069,Express,Station_2,19,56,Free,Skip,Double-line,100,Hold Train T0069,Station_15,30.0,,,
T0070,Express,Section_29,118,0,Occupied,All Stops,Double-line,90,Reroute Train T0070,,,Section_22 → Section_20 → Section_8,25.0,Congestion
T0071,Express,Station_22,75,47,Occupied,All Stops,Single-line,100,Allow Train T0071 to go first,,,,,
T0072,Express,Station_31,53,42,Free,Skip,Single-line,100,Hold Train T0072,Station_23,21.0,,,
T0073,Express,Station_10,32,29,Occupied,Skip,Single-line,60,Hold Train T0073,Station_8,7.0,,,
T0074,Passenger,Station_21,28,45,Free,Skip,Single-line,100,Reroute Train T0074,,,Station_22 → Station_13 → Section_33,15.0,Maintenance
T0075,Passenger,Section_18,100,7,Occupied,Skip,Double-line,110,Allow Train T0075 to go first,,,,,
T0076,Passenger,Station_14,98,7,Occupied,Skip,Double-line,90,Reroute Train T0076,,,Section_21 → Station_11 → Section_44,25.0,Weather
T0077,Freight,Section_11,21,45,Free,All Stops,Single-line,120,Allow Train T0077 to go first,,,,,
T0078,Passenger,Station_31,61,34,Free,Skip,Double-line,110,Allow Train T0078 to go first,,,,,
T0079,Freight,Section_25,61,57,Free,All Stops,Double-line,90,Allow Train T0079 to go first,,,,,
T0080,Freight,Station_13,65,8,Free,All Stops,Single-line,60,Allow Train T0080 to go first,,,,,
T0081,Express,Section_21,27,39,Occupied,Skip,Single-line,80,Reroute Train T0081,,,Station_20 → Station_8 → Station_33,10.0,Accident
T0082,Passenger,Section_13,35,41,Free,Skip,Single-line,60,Hold Train T0082,Station_24,23.0,,,
T0083,Freight,Section_41,25,44,Free,Skip,Single-line,80,Allow Train T0083 to go first,,,,,
T0084,Freight,Station_27,6,17,Free,Skip,Single-line,80,Reroute Train T0084,,,Section_7 → Section_14 → Station_46,13.0,Maintenance
T0085,Express,Station_48,91,12,Free,Skip,Single-line,100,Hold Train T0085,Station_4,18.0,,,
T0086,Passenger,Section_1,25,0,Free,All Stops,Single-line,100,Hold Train T0086,Station_30,16.0,,,
T0087,Passenger,Section_25,12,39,Free,Skip,Single-line,120,Allow Train T0087 to go first,,,,,
T0088,Freight,Station_21,76,5,Occupied,Skip,Double-line,90,Hold Train T0088,Station_39,6.0,,,
T0089,Express,Section_25,95,33,Free,Skip,Single-line,90,Allow Train T0089 to go first,,,,,
T0090,Freight,Section_20,105,17,Free,All Stops,Double-line,80,Allow Train T0090 to go first,,,,,
T0091,Freight,Station_11,102,55,Free,Skip,Double-line,100,Allow Train T0091 to go first,,,,,
T0092,Freight,Station_8,46,25,Occupied,All Stops,Double-line,100,Allow Train T0092 to go first,,,,,
T0093,Passenger,Station_30,89,25,Free,Skip,Double-line,90,Hold Train T0093,Station_4,14.0,,,
T0094,Freight,Station_37,99,48,Occupied,All Stops,Single-line,100,Hold Train T0094,Station_26,11.0,,,
T0095,Freight,Station_40,77,49,Free,Skip,Double-line,90,Allow Train T0095 to go first,,,,,
T0096,Passenger,Section_33,77,24,Free,All Stops,Single-line,80,Allow Train T0096 to go first,,,,,
T0097,Passenger,Station_18,55,56,Free,Skip,Double-line,80,Hold Train T0097,Station_14,30.0,,,
T0098,Passenger,Section_36,17,58,Occupied,All Stops,Double-line,120,Allow Train T0098 to go first,,,,,
T0099,Express,Section_37,65,54,Free,All Stops,Single-line,120,Reroute Train T0099,,,Section_3 → Station_19 → Section_32,20.0,Accident
T0100,Freight,Station_11,84,38,Occupied,All Stops,Single-line,80,Reroute Train T0100,,,Station_44 → Station_31 → Station_18,23.0,Weather
T0101,Express,Station_47,85,3,Occupied,Skip,Single-line,80,Hold Train T0101,Station_13,6.0,,,
T0102,Freight,Station_31,9,5,Occupied,All Stops,Double-line,60,Hold Train T0102,Station_47,13.0,,,
T0103,Passenger,Section_10,99,46,Occupied,All Stops,Double-line,90,Hold Train T0103,Station_26,23.0,,,
T0104,Freight,Section_43,102,17,Occupied,Skip,Double-line,80,Hold Train T0104,Station_24,23.0,,,
T0105,Passenger,Station_35,50,24,Occupied,Skip,Double-line,80,Hold Train T0105,Station_9,7.0,,,
T0106,Express,Station_44,36,23,Free,Skip,Double-line,110,Hold Train T0106,Station_33,7.0,,,
T0107,Passenger,Station_24,97,25,Free,All Stops,Double-line,110,Hold Train T0107,Station_26,14.0,,,
T0108,Passenger,Station_24,14,54,Free,Skip,Double-line,90,Allow Train T0108 to go first,,,,,
T0109,Express,Station_48,99,45,Free,All Stops,Single-line,100,Allow Train T0109 to go first,,,,,
T0110,Passenger,Station_7,85,16,Free,Skip,Single-line,100,Allow Train T0110 to go first,,,,,
T0111,Passenger,Section_50,40,56,Occupied,Skip,Single-line,100,Reroute Train T0111,,,Section_3 → Station_29 → Section_35,34.0,Congestion
T0112,Express,Section_38,115,1,Free,Skip,Double-line,110,Hold Train T0112,Station_11,9.0,,,
T0113,Express,Station_11,47,46,Occupied,Skip,Double-line,90,Allow Train T0113 to go first,,,,,
T0114,Express,Station_47,104,42,Occupied,Skip,Double-line,110,Hold Train T0114,Station_17,13.0,,,
T0115,Freight,Section_34,113,43,Occupied,Skip,Single-line,100,Allow Train T0115 to go first,,,,,
T0116,Freight,Station_21,111,41,Free,All Stops,Double-line,120,Allow Train T0116 to go first,,,,,
T0117,Express,Section_7,59,28,Free,All Stops,Double-line,120,Hold Train T0117,Station_27,11.0,,,
T0118,Express,Section_10,0,7,Occupied,Skip,Single-line,120,Reroute Train T0118,,,Station_46 → Station_20 → Section_7,39.0,Maintenance
T0119,Express,Station_48,41,41,Free,Skip,Single-line,80,Hold Train T0119,Station_44,10.0,,,
T0120,Freight,Station_17,8,19,Free,All Stops,Double-line,120,Allow Train T0120 to go first,,,,,
T0121,Express,Section_5,3,38,Occupied,Skip,Single-line,80,Hold Train T0121,Station_34,30.0,,,
T0122,Freight,Section_39,11,31,Free,Skip,Single-line,60,Allow Train T0122 to go first,,,,,
T0123,Passenger,Section_30,44,22,Free,All Stops,Single-line,120,Allow Train T0123 to go first,,,,,
T0124,Freight,Section_33,23,36,Occupied,Skip,Double-line,80,Reroute Train T0124,,,Station_48 → Section_29 → Station_46,18.0,Congestion
T0125,Express,Station_22,19,40,Occupied,Skip,Single-line,110,Reroute Train T0125,,,Section_28 → Station_23 → Station_1,23.0,Accident
T0126,Passenger,Section_39,88,53,Free,All Stops,Single-line,80,Allow Train T0126 to go first,,,,,
T0127,Passenger,Section_5,11,32,Occupied,Skip,Double-line,100,Allow Train T0127 to go first,,,,,
T0128,Express,Section_21,58,2,Free,All Stops,Double-line,60,Reroute Train T0128,,,Station_21 → Station_26 → Station_49,7.0,Maintenance
T0129,Express,Section_13,15,9,Occupied,Skip,Double-line,120,Reroute Train T0129,,,Station_29 → Section_22 → Section_37,40.0,Congestion
T0130,Freight,Station_12,109,31,Occupied,All Stops,Double-line,100,Hold Train T0130,Station_13,15.0,,,
T0131,Passenger,Section_47,33,8,Free,Skip,Single-line,120,Allow Train T0131 to go first,,,,,
T0132,Express,Station_21,117,45,Free,Skip,Double-line,90,Allow Train T0132 to go first,,,,,
T0133,Passenger,Section_22,85,54,Free,Skip,Single-line,120,Hold Train T0133,Station_26,6.0,,,
T0134,Passenger,Station_24,105,56,Occupied,Skip,Double-line,120,Allow Train T0134 to go first,,,,,
T0135,Passenger,Station_32,106,57,Occupied,Skip,Single-line,120,Allow Train T0135 to go first,,,,,
T0136,Freight,Station_8,34,25,Occupied,All Stops,Single-line,80,Allow Train T0136 to go first,,,,,
T0137,Passenger,Section_36,40,14,Occupied,Skip,Double-line,80,Allow Train T0137 to go first,,,,,
T0138,Freight,Station_10,28,49,Occupied,Skip,Double-line,120,Allow Train T0138 to go first,,,,,
T0139,Freight,Station_37,84,25,Free,All Stops,Double-line,100,Allow Train T0139 to go first,,,,,
T0140,Passenger,Section_44,35,50,Occupied,Skip,Double-line,90,Hold Train T0140,Station_37,7.0,,,
T0141,Express,Section_31,84,4,Occupied,Skip,Double-line,120,Hold Train T0141,Station_5,7.0,,,
T0142,Freight,Section_49,117,43,Occupied,All Stops,Double-line,90,Allow Train T0142 to go first,,,,,
T0143,Freight,Section_36,11,36,Occupied,Skip,Double-line,100,Reroute Train T0143,,,Section_14 → Station_46 → Station_24,8.0,Weather
T0144,Express,Station_18,2,16,Free,All Stops,Single-line,120,Allow Train T0144 to go first,,,,,
T0145,Express,Section_30,110,41,Occupied,Skip,Single-line,120,Reroute Train T0145,,,Station_12 → Station_20 → Station_40,9.0,Congestion
T0146,Freight,Station_32,96,45,Occupied,All Stops,Double-line,110,Reroute Train T0146,,,Section_33 → Section_9 → Section_2,7.0,Weather
T0147,Express,Station_10,21,27,Occupied,All Stops,Single-line,60,Reroute Train T0147,,,Section_49 → Station_24 → Station_17,33.0,Weather
T0148,Freight,Section_48,3,29,Occupied,All Stops,Double-line,90,Allow Train T0148 to go first,,,,,
T0149,Freight,Station_27,120,40,Occupied,Skip,Single-line,110,Allow Train T0149 to go first,,,,,
T0150,Freight,Section_49,48,21,Occupied,Skip,Single-line,110,Reroute Train T0150,,,Section_43 → Section_25 → Section_32,26.0,Congestion
T0151,Express,Station_16,18,2,Free,Skip,Single-line,90,Allow Train T0151 to go first,,,,,
T0152,Passenger,Section_13,103,24,Occupied,All Stops,Double-line,90,Hold Train T0152,Station_1,27.0,,,
T0153,Express,Station_1,17,26,Occupied,All Stops,Double-line,90,Reroute Train T0153,,,Section_36 → Section_48 → Section_6,36.0,Weather
T0154,Passenger,Section_24,57,37,Occupied,All Stops,Single-line,100,Allow Train T0154 to go first,,,,,
T0155,Passenger,Station_45,54,44,Free,All Stops,Double-line,60,Allow Train T0155 to go first,,,,,
T0156,Passenger,Station_32,45,20,Free,All Stops,Single-line,60,Reroute Train T0156,,,Section_45 → Station_50 → Station_35,32.0,Congestion
T0157,Passenger,Section_7,10,7,Occupied,Skip,Double-line,80,Hold Train T0157,Station_14,6.0,,,
T0158,Freight,Station_48,75,29,Free,Skip,Double-line,90,Allow Train T0158 to go first,,,,,
T0159,Express,Section_18,20,29,Occupied,Skip,Double-line,90,Allow Train T0159 to go first,,,,,
T0160,Express,Station_41,78,18,Occupied,All Stops,Double-line,90,Hold Train T0160,Station_43,18.0,,,
T0161,Express,Station_39,42,48,Occupied,All Stops,Single-line,90,Reroute Train T0161,,,Station_33 → Station_10 → Station_40,12.0,Weather
T0162,Freight,Section_28,75,15,Free,All Stops,Double-line,110,Hold Train T0162,Station_19,12.0,,,
T0163,Freight,Station_35,112,26,Occupied,Skip,Single-line,80,Allow Train T0163 to go first,,,,,
T0164,Express,Section_26,42,32,Occupied,Skip,Double-line,120,Allow Train T0164 to go first,,,,,
T0165,Freight,Section_36,104,34,Occupied,Skip,Single-line,80,Allow Train T0165 to go first,,,,,
T0166,Express,Section_48,73,28,Free,Skip,Single-line,60,Hold Train T0166,Station_49,6.0,,,
T0167,Passenger,Station_42,38,57,Occupied,Skip,Double-line,120,Reroute Train T0167,,,Section_3 → Station_48 → Station_44,35.0,Congestion
T0168,Express,Station_5,31,0,Free,All Stops,Double-line,110,Hold Train T0168,Station_20,17.0,,,
T0169,Express,Station_19,92,39,Free,Skip,Single-line,80,Reroute Train T0169,,,Station_46 → Station_14 → Station_18,12.0,Congestion
T0170,Freight,Section_10,42,54,Occupied,All Stops,Double-line,80,Hold Train T0170,Station_38,15.0,,,
T0171,Freight,Section_37,107,30,Free,All Stops,Single-line,110,Reroute Train T0171,,,Station_28 → Station_9 → Station_34,28.0,Accident
T0172,Express,Station_34,89,20,Occupied,All Stops,Single-line,60,Allow Train T0172 to go first,,,,,
T0173,Express,Section_20,70,23,Free,Skip,Double-line,80,Allow Train T0173 to go first,,,,,
T0174,Passenger,Station_21,119,42,Free,Skip,Single-line,80,Hold Train T0174,Station_30,14.0,,,
T0175,Express,Station_34,52,13,Free,Skip,Double-line,80,Reroute Train T0175,,,Section_8 → Section_42 → Section_25,31.0,Weather
T0176,Freight,Station_4,4,35,Occupied,Skip,Double-line,100,Reroute Train T0176,,,Station_7 → Station_20 → Section_34,10.0,Weather
T0177,Passenger,Station_37,8,29,Occupied,Skip,Single-line,90,Allow Train T0177 to go first,,,,,
T0178,Passenger,Station_8,19,14,Occupied,Skip,Single-line,80,Reroute Train T0178,,,Section_29 → Station_36 → Section_5,30.0,Accident
T0179,Express,Section_8,96,21,Free,Skip,Single-line,80,Reroute Train T0179,,,Station_20 → Section_30 → Station_30,5.0,Congestion
T0180,Express,Station_18,42,25,Free,Skip,Single-line,60,Allow Train T0180 to go first,,,,,
T0181,Express,Station_29,25,16,Occupied,All Stops,Double-line,60,Reroute Train T0181,,,Section_39 → Station_16 → Section_36,32.0,Weather
T0182,Passenger,Station_2,56,54,Occupied,Skip,Double-line,110,Reroute Train T0182,,,Station_45 → Section_47 → Station_41,20.0,Maintenance
T0183,Express,Station_36,82,23,Free,Skip,Single-line,80,Allow Train T0183 to go first,,,,,
T0184,Freight,Section_25,71,49,Occupied,All Stops,Single-line,80,Allow Train T0184 to go first,,,,,
T0185,Express,Station_35,91,58,Free,Skip,Single-line,110,Hold Train T0185,Station_30,7.0,,,
T0186,Freight,Section_45,102,58,Free,Skip,Double-line,120,Allow Train T0186 to go first,,,,,
T0187,Express,Section_35,102,8,Occupied,Skip,Double-line,60,Hold Train T0187,Station_47,18.0,,,
T0188,Passenger,Section_35,113,34,Occupied,Skip,Double-line,120,Reroute Train T0188,,,Section_39 → Section_14 → Station_42,21.0,Weather
T0189,Express,Section_30,100,53,Free,All Stops,Single-line,100,Hold Train T0189,Station_41,22.0,,,
T0190,Express,Section_19,111,58,Occupied,Skip,Double-line,120,Allow Train T0190 to go first,,,,,
T0191,Passenger,Section_15,111,59,Free,Skip,Single-line,90,Reroute Train T0191,,,Station_6 → Section_25 → Section_39,26.0,Weather
T0192,Passenger,Section_48,68,18,Occupied,Skip,Single-line,100,Allow Train T0192 to go first,,,,,
T0193,Freight,Station_25,57,36,Free,Skip,Single-line,80,Allow Train T0193 to go first,,,,,
T0194,Express,Station_7,15,33,Occupied,Skip,Single-line,120,Hold Train T0194,Station_45,22.0,,,
T0195,Passenger,Section_46,78,3,Free,All Stops,Single-line,100,Hold Train T0195,Station_45,6.0,,,
T0196,Freight,Station_29,76,9,Occupied,Skip,Double-line,120,Hold Train T0196,Station_12,24.0,,,
T0197,Passenger,Section_45,113,57,Free,All Stops,Single-line,80,Allow Train T0197 to go first,,,,,
T0198,Express,Section_14,49,47,Occupied,Skip,Single-line,110,Hold Train T0198,Station_12,10.0,,,
T0199,Express,Station_47,109,18,Free,Skip,Single-line,100,Allow Train T0199 to go first,,,,,
T0200,Passenger,Section_37,41,43,Occupied,All Stops,Single-line,80,Reroute Train T0200,,,Section_45 → Station_1 → Section_39,39.0,Congestion
T0201,Express,Station_38,37,19,Occupied,Skip,Double-line,110,Reroute Train T0201,,,Section_14 → Section_16 → Section_27,26.0,Maintenance
T0202,Passenger,Section_10,2,51,Free,Skip,Double-line,110,Reroute Train T0202,,,Station_49 → Section_49 → Section_15,27.0,Maintenance
T0203,Freight,Section_49,111,20,Free,All Stops,Double-line,90,Reroute Train T0203,,,Section_40 → Station_24 → Section_1,32.0,Congestion
T0204,Express,Section_27,94,20,Occupied,Skip,Double-line,80,Hold Train T0204,Station_32,20.0,,,
T0205,Passenger,Station_22,20,58,Occupied,Skip,Single-line,100,Allow Train T0205 to go first,,,,,
T0206,Passenger,Station_45,69,5,Free,Skip,Single-line,120,Hold Train T0206,Station_37,28.0,,,
T0207,Express,Station_20,75,18,Free,Skip,Double-line,100,Allow Train T0207 to go first,,,,,
T0208,Express,Station_20,75,20,Occupied,All Stops,Single-line,100,Allow Train T0208 to go first,,,,,
T0209,Passenger,Section_36,92,51,Free,All Stops,Single-line,110,Reroute Train T0209,,,Station_38 → Section_36 → Section_48,16.0,Maintenance
T0210,Passenger,Station_49,9,21,Occupied,Skip,Double-line,60,Allow Train T0210 to go first,,,,,
T0211,Express,Section_43,13,14,Free,Skip,Double-line,110,Reroute Train T0211,,,Station_29 → Section_41 → Station_21,9.0,Maintenance
T0212,Express,Station_20,12,60,Free,Skip,Double-line,120,Hold Train T0212,Station_33,26.0,,,
T0213,Express,Section_42,47,34,Free,All Stops,Double-line,110,Hold Train T0213,Station_26,14.0,,,
T0214,Express,Station_14,97,37,Free,All Stops,Double-line,110,Reroute Train T0214,,,Station_8 → Station_50 → Station_40,24.0,Congestion
T0215,Freight,Station_1,5,50,Occupied,Skip,Double-line,100,Reroute Train T0215,,,Section_18 → Section_12 → Station_32,25.0,Accident
T0216,Freight,Station_50,81,25,Occupied,All Stops,Double-line,120,Allow Train T0216 to go first,,,,,
T0217,Freight,Section_6,92,8,Free,All Stops,Single-line,60,Reroute Train T0217,,,Station_19 → Section_42 → Section_6,14.0,Congestion
T0218,Express,Station_25,23,1,Occupied,Skip,Single-line,90,Allow Train T0218 to go first,,,,,
T0219,Freight,Station_33,68,13,Free,All Stops,Double-line,110,Reroute Train T0219,,,Section_49 → Section_40 → Station_15,10.0,Weather
T0220,Freight,Section_8,19,52,Occupied,All Stops,Single-line,120,Allow Train T0220 to go first,,,,,
T0221,Freight,Section_40,25,7,Free,Skip,Single-line,100,Hold Train T0221,Station_27,5.0,,,
T0222,Freight,Section_39,95,10,Free,Skip,Single-line,90,Allow Train T0222 to go first,,,,,
T0223,Freight,Station_21,69,21,Free,All Stops,Single-line,60,Allow Train T0223 to go first,,,,,
T0224,Passenger,Section_31,5,20,Free,All Stops,Single-line,110,Allow Train T0224 to go first,,,,,
T0225,Freight,Section_41,0,59,Occupied,Skip,Double-line,110,Allow Train T0225 to go first,,,,,
T0226,Freight,Section_50,72,49,Free,Skip,Double-line,100,Reroute Train T0226,,,Section_40 → Section_6 → Station_21,34.0,Weather
T0227,Express,Station_30,22,54,Free,All Stops,Single-line,80,Hold Train T0227,Station_27,28.0,,,
T0228,Express,Section_15,43,40,Free,All Stops,Single-line,100,Hold Train T0228,Station_7,12.0,,,
T0229,Passenger,Section_21,39,49,Free,Skip,Single-line,80,Allow Train T0229 to go first,,,,,
T0230,Freight,Section_15,101,10,Free,Skip,Single-line,60,Reroute Train T0230,,,Section_20 → Section_16 → Section_44,19.0,Accident
T0231,Express,Section_10,94,38,Free,All Stops,Double-line,120,Reroute Train T0231,,,Section_40 → Station_3 → Section_2,35.0,Weather
T0232,Passenger,Station_13,83,2,Occupied,All Stops,Single-line,60,Reroute Train T0232,,,Section_19 → Section_17 → Station_13,22.0,Congestion
T0233,Express,Section_30,16,29,Occupied,All Stops,Single-line,100,Reroute Train T0233,,,Section_39 → Station_15 → Station_46,31.0,Congestion
T0234,Freight,Section_39,38,22,Occupied,Skip,Single-line,120,Reroute Train T0234,,,Station_20 → Section_40 → Section_1,29.0,Accident
T0235,Freight,Section_2,68,24,Free,All Stops,Single-line,80,Hold Train T0235,Station_29,11.0,,,
T0236,Passenger,Section_29,64,37,Free,All Stops,Double-line,80,Reroute Train T0236,,,Station_35 → Section_36 → Section_6,5.0,Weather
T0237,Freight,Station_39,113,8,Free,All Stops,Double-line,120,Hold Train T0237,Station_10,29.0,,,
T0238,Freight,Section_3,54,37,Occupied,Skip,Double-line,110,Reroute Train T0238,,,Section_1 → Section_13 → Station_3,40.0,Maintenance
T0239,Freight,Section_27,58,19,Occupied,All Stops,Double-line,120,Reroute Train T0239,,,Section_24 → Station_37 → Section_2,22.0,Maintenance
T0240,Freight,Station_25,102,38,Occupied,Skip,Double-line,100,Allow Train T0240 to go first,,,,,
T0241,Passenger,Section_9,66,60,Occupied,Skip,Double-line,120,Reroute Train T0241,,,Section_19 → Station_14 → Station_49,23.0,Maintenance
